City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,10.27,82,88,4.5,CL,1707283614
1,khanu woralaksaburi,16.0617,99.8606,34.41,19,0,0.73,TH,1707283614
2,bethel,41.3712,-73.414,0.02,74,0,0.0,US,1707283615
3,henderson,36.0397,-114.9819,9.43,63,100,6.69,US,1707283615
4,kourou,5.1552,-52.6478,26.03,92,18,3.36,GF,1707283615
5,tiksi,71.6872,128.8694,-28.08,99,98,2.97,RU,1707283616
6,albany,42.6001,-73.9662,-2.33,73,26,1.03,US,1707283581
7,blackmans bay,-43.0167,147.3167,20.41,53,22,0.89,AU,1707283616
8,ushuaia,-54.8,-68.3,12.81,54,0,1.54,AR,1707283617
9,chul'man,56.8479,124.9104,-11.11,88,100,3.55,RU,1707283617
10,udachny,66.4167,112.4,-27.53,75,98,1.7,RU,1707283617
11,pagar alam,-4.0167,103.2667,26.81,73,99,1.17,ID,1707283618
12,takanabe,32.1333,131.5,15.94,56,97,2.39,JP,1707283618
13,xiulin,29.7167,112.4,0.49,100,92,2.71,CN,1707283618
14,grytviken,-54.2811,-36.5092,8.65,56,24,2.07,GS,1707283619
15,laminusa,5.5549,120.9136,27.02,72,58,1.0,PH,1707283619
16,fort bragg,35.139,-79.006,3.03,52,0,4.12,US,1707283619
17,isla vista,34.4133,-119.861,12.01,78,0,0.45,US,1707283619
18,kodiak,57.79,-152.4072,1.73,87,100,2.57,US,1707283620
19,broome,42.2506,-75.833,-1.11,83,0,2.57,US,1707283620
20,kalmunai,7.4167,81.8167,27.86,63,57,3.65,LK,1707283620
21,hithadhoo,-0.6,73.0833,28.43,74,43,3.09,MV,1707283621
22,martapura,-3.4167,114.85,28.05,78,40,3.09,ID,1707283622
23,baiao,-2.7906,-49.6717,22.98,99,39,0.85,BR,1707283623
24,west island,-12.1568,96.8225,29.99,66,19,4.12,CC,1707283624
25,port-aux-francais,-49.35,70.2167,7.1,99,100,4.42,TF,1707283624
26,adamstown,-25.066,-130.1015,24.72,88,95,6.9,PN,1707283587
27,saldanha,-33.0117,17.9442,18.03,93,1,3.46,ZA,1707283625
28,anadyr,64.75,177.4833,-19.72,83,20,7.0,RU,1707283626
29,college,64.8569,-147.8028,-16.97,83,75,0.0,US,1707283626
30,olonkinbyen,70.9221,-8.7187,-3.01,91,93,9.19,SJ,1707283626
31,ternate,0.8,127.4,27.96,74,100,4.07,ID,1707283627
32,tofol,5.3248,163.0078,30.88,66,75,6.69,FM,1707283627
33,port alfred,-33.5906,26.891,22.32,80,92,4.02,ZA,1707283628
34,edinburgh of the seven seas,-37.0676,-12.3116,16.64,63,77,1.39,SH,1707283628
35,ribeira grande,38.5167,-28.7,17.1,93,92,7.15,PT,1707283628
36,kruisfontein,-34.0033,24.7314,21.05,76,16,6.65,ZA,1707283629
37,stanley,54.868,-1.6985,-0.67,87,0,2.06,GB,1707283629
38,aasiaat,68.7098,-52.8699,-7.08,82,100,9.44,GL,1707283629
39,ilulissat,69.2167,-51.1,-5.99,73,100,13.89,GL,1707283630
40,hamilton,39.1834,-84.5333,3.76,80,0,1.79,US,1707282931
41,avarua,-21.2078,-159.775,28.03,78,100,5.14,CK,1707283631
42,tolanaro,-25.0319,46.9987,28.04,74,20,2.06,MG,1707283631
43,mahdia,35.5047,11.0622,10.97,47,100,7.0,TN,1707283632
44,isafjordur,66.0755,-23.124,-2.87,90,100,5.94,IS,1707283632
45,waitangi,-43.9535,-176.5597,18.79,90,100,3.58,NZ,1707283633
46,ash shatrah,31.4117,46.1742,13.19,56,1,3.22,IQ,1707283633
47,port elizabeth,-33.918,25.5701,22.28,77,40,8.75,ZA,1707283633
48,suva,-18.1416,178.4415,27.71,69,75,3.09,FJ,1707283634
49,atafu village,-8.5421,-172.5159,28.62,82,95,11.05,TK,1707283634
50,kangaroo flat,-36.8,144.25,25.59,28,0,4.98,AU,1707283634
51,porto novo,6.4965,2.6036,23.9,59,26,0.77,BJ,1707283635
52,popondetta,-8.7537,148.2534,30.63,64,100,2.7,PG,1707283635
53,mallammaduri,12.565,9.9573,16.53,22,83,4.97,NG,1707283636
54,mao,39.8885,4.2658,10.31,100,40,2.06,ES,1707283636
55,poronaysk,49.2167,143.1167,-12.07,81,26,0.3,RU,1707283636
56,nouadhibou,20.931,-17.0347,19.99,34,16,3.6,MR,1707283637
57,nalut,30.3333,10.85,9.23,41,25,2.94,LY,1707283637
58,douglas,41.3,-96.167,8.51,72,0,5.66,US,1707283637
59,saint-philippe,-21.3585,55.7679,28.77,80,94,2.96,RE,1707283638
60,iqaluit,63.7506,-68.5145,-23.15,59,40,6.17,CA,1707283638
61,talnakh,69.4865,88.3972,-14.33,82,100,2.92,RU,1707283638
62,punta arenas,-53.15,-70.9167,12.06,62,75,5.14,CL,1707283639
63,hadibu,12.65,54.0333,25.7,67,26,4.18,YE,1707283639
64,wailua homesteads,22.0669,-159.378,23.24,75,75,8.23,US,1707283639
65,naze,28.3667,129.4833,14.51,79,100,5.2,JP,1707283640
66,mukalla,14.5425,49.1242,23.69,72,23,1.35,YE,1707283640
67,yellowknife,62.456,-114.3525,-17.47,93,100,5.66,CA,1707283640
68,cold lake,54.4502,-110.2017,-10.03,92,100,2.57,CA,1707283540
69,kingston,17.997,-76.7936,23.53,73,20,8.23,JM,1707283527
70,kalabo,-14.97,22.6814,20.06,93,89,1.76,ZM,1707283641
71,kasane,-17.8167,25.15,19.67,87,44,1.71,BW,1707283642
72,ulladulla,-35.35,150.4667,20.14,65,78,4.6,AU,1707283577
73,altus,34.6381,-99.334,11.73,72,100,5.66,US,1707283642
74,vilyuysk,63.7553,121.6247,-24.47,94,97,1.53,RU,1707283643
75,st. john's,47.5649,-52.7093,-0.12,91,100,12.52,CA,1707283643
76,yuzhno-kurilsk,44.0306,145.8556,-5.9,63,38,4.0,RU,1707283643
77,papao,-17.75,-149.55,28.82,88,100,11.95,PF,1707283644
78,walvis bay,-22.9575,14.5053,19.53,88,100,1.03,NA,1707283644
79,sao luis,-2.5297,-44.3028,28.11,89,0,3.09,BR,1707283644
